ID,Citação,Autor,Tags,Caracteres,Quantidade_Tags
1,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",115,4
2,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",85,2
3,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",131,5
4,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",104,4
5,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",111,2
6,“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",67,3
7,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",82,2
8,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",65,4
9,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,85,1
10,"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",50,3
